category,year,filename,title,source_url,license_note
WHO,2025,01_WHO/WHO_Global_TB_Report_2025.pdf,Global tuberculosis report 2025,https://iris.who.int/server/api/core/bitstreams/e97dd6f4-b567-4396-8680-717bac6869a9/content,WHO publication - verify licence on source page
WHO,2024,01_WHO/WHO_Global_TB_Report_2024.pdf,Global tuberculosis report 2024,https://iris.who.int/server/api/core/bitstreams/7292c91e-ffb0-4cef-ac39-0200f06961ea/content,WHO publication - verify licence on source page
WHO,2024,01_WHO/WHO_TPT_Guidelines_Module1_2024.pdf,WHO consolidated guidelines module 1 preventive treatment second edition,https://iris.who.int/server/api/core/bitstreams/314ddea2-6fc2-4ff0-9357-a038feca1d31/content,CC BY-NC-SA 3.0 IGO indicated by WHO
WHO,2025,01_WHO/WHO_Diagnosis_Module3_2025.pdf,WHO consolidated guidelines module 3 diagnosis,https://iris.who.int/server/api/core/bitstreams/ae20e43e-17fd-4951-b475-3e36e166e7ae/content,WHO publication - verify licence on source page
WHO,2022,01_WHO/WHO_DS_TB_Treatment_Module4_2022.pdf,WHO consolidated guidelines module 4 drug-susceptible TB treatment,https://iris.who.int/server/api/core/bitstreams/cf34aa08-c5d4-4b64-85cd-2ec1e6b14d91/content,WHO publication - verify licence on source page
WHO,2025,01_WHO/WHO_Comorbidities_Module6_2025.pdf,WHO consolidated guidelines module 6 tuberculosis and comorbidities second edition,https://iris.who.int/server/api/core/bitstreams/c7e3e53f-e6d5-4f9f-a72e-86afbda89cea/content,WHO publication - verify licence on source page
ECDC,2020,03_ECDC/ECDC_TB_Surveillance_Europe_2020.pdf,Tuberculosis surveillance and monitoring in Europe 2020,https://www.ecdc.europa.eu/sites/default/files/documents/TB-Surveillance-report_24March2020.pdf,Reproduction generally authorised with acknowledgement - verify document notice
ECDC,2021,03_ECDC/ECDC_TB_Surveillance_Europe_2021.pdf,Tuberculosis surveillance and monitoring in Europe 2021,https://www.ecdc.europa.eu/sites/default/files/documents/tuberculosis-surveillance-monitoring-Europe-2021.pdf,Verify document notice
ECDC,2022,03_ECDC/ECDC_TB_Surveillance_Europe_2022.pdf,Tuberculosis surveillance and monitoring in Europe 2022,https://www.ecdc.europa.eu/sites/default/files/documents/Tuberculosis-surveillance-monitoring-europe-2022.pdf,Verify document notice
ECDC,2023,03_ECDC/ECDC_TB_Surveillance_Europe_2023.pdf,Tuberculosis surveillance and monitoring in Europe 2023,https://www.ecdc.europa.eu/sites/default/files/documents/tuberculosis-surveillance-monitoring-2023.pdf,Verify document notice
